56;12048;/products/deposits/deposit/12048/?mark_rate=2848916&sum=0&currency_id=45&period=367&rate=21.5&cap=0&pp=1&ppv=END;"«Защита сбережений»";"Транспортный";21.5;1.00547945205479;30000;;;"возможно";;;"2014-12-26 13:06:28.162407";"2014-12-26 13:59:18.057619"
58;11184;/products/deposits/deposit/11184/?mark_rate=2839850&sum=0&currency_id=45&period=367&rate=21.5&cap=0&pp=1&ppv=END;"«Осенний вальс»";"Первый Чешско-Российский Банк";21.5;1.00547945205479;100000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									10 000 рублей, 500 долларов/евро; прекращается за 30 дней до окончания срока действия вклада								";"2014-12-26 13:06:28.208998";"2014-12-26 13:59:18.719073"
59;8804;/products/deposits/deposit/8804/?mark_rate=2850622&sum=0&currency_id=45&period=366&rate=21.3&cap=1&cp=3&cpv=1m&pp=3&ppv=1m;"«Реальный+»";"Арксбанк";21.3;1.0027397260274;10000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									3 000 рублей, 100 долларов/евро; не позднее 30 дней до окончания срока действия вклада								";"2014-12-26 13:06:28.229437";"2014-12-26 13:59:19.648783"
60;12275;/products/deposits/deposit/12275/?mark_rate=2840362&sum=0&currency_id=45&period=367&rate=21.1&cap=1&cp=3&cpv=1m&pp=1&ppv=END;"«Комфортный плюс»";"Ярославич";21.1;1.00547945205479;50000;;;"возможно";;;"2014-12-26 13:06:28.250102";"2014-12-26 13:59:20.608124"
62;11627;/products/deposits/deposit/11627/?mark_rate=2823471&sum=0&currency_id=45&period=370&rate=21&cap=1&cp=3&cpv=1m&pp=1&ppv=END;"«Ницца»";"Еврокоммерц";21.0;1.01369863013699;10000;;;"возможно";"
										есть ограничения:
										минимальная сумма									";"
									5 000 рублей								";"2014-12-26 13:06:28.290759";"2014-12-26 14:00:27.021146"
64;2443;/products/deposits/deposit/2443/?mark_rate=2836539&sum=0&currency_id=45&period=367&rate=21&cap=0&pp=1&ppv=END;"«Золотой стандарт»";"Росэнергобанк";21.0;1.00547945205479;30000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									30 000 рублей, 500 долларов/евро; в течение первой половины срока вклада								";"2014-12-26 13:06:28.326791";"2014-12-26 14:09:17.349975"
69;11763;/products/deposits/deposit/11763/?mark_rate=2819328&sum=0&currency_id=45&period=416&rate=21&cap=1&cp=3&cpv=1m&pp=3&ppv=1m;"«Новогодний»";"Финансовый Стандарт";21.0;1.13972602739726;60000;;;"возможно";"
										есть ограничения:
										срок внесения пополнения									";"
									не менее чем за 30 календарных дней до окончания
срока вклада								";"2014-12-26 13:06:28.421362";"2014-12-26 14:00:28.530691"
71;10462;/products/deposits/deposit/10462/?mark_rate=2828464&sum=0&currency_id=45&period=370&rate=21&cap=0&pp=1&ppv=END;"«Бонус Плюс»";"Русский Торговый Банк";21.0;1.01369863013699;300000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									10 000 рублей, 300 долларов/евро; не позднее 30 дней до окончания срока вклада								";"2014-12-26 13:06:28.461799";"2014-12-26 14:00:29.550378"
72;11670;/products/deposits/deposit/11670/?mark_rate=2823450&sum=0&currency_id=45&period=370&rate=21&cap=0&pp=1&ppv=END;"«Сен-Тропе»";"Еврокоммерц";21.0;1.01369863013699;300000;;;"возможно";"
										есть ограничения:
										минимальная сумма									";"
									5 000 рублей, 200 долларов/евро								";"2014-12-26 13:06:28.487556";"2014-12-26 14:00:30.323646"
73;11739;/products/deposits/deposit/11739/?mark_rate=2838712&sum=0&currency_id=45&period=366&rate=21&cap=0&pp=1&ppv=END;"«Зимние чудеса»";"ОТП Банк";21.0;1.0027397260274;700000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									3 000 рублей; течение первых 91 календарных дней срока вклада								";"2014-12-26 13:06:28.506502";"2014-12-26 14:00:31.199031"
75;12373;/products/deposits/deposit/12373/?mark_rate=2849492&sum=0&currency_id=45&period=367&rate=20.5&cap=0&pp=3&ppv=1m;"«Неснижаемый процент»";"Транспортный";20.5;1.00547945205479;30000;;;"возможно";;;"2014-12-26 13:06:28.555974";"2014-12-26 14:00:32.162698"
76;12000;/products/deposits/deposit/12000/?mark_rate=2850387&sum=0&currency_id=45&period=1096&rate=20.5&cap=0&pp=1&ppv=END;"«Щедрый год»";"Банкирский Дом";20.5;3.0027397260274;100000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									5 000 рублей, 100 долларов/евро; не позднее 30 дней до окончания срока действия вклада								";"2014-12-26 13:06:31.911709";"2014-12-26 13:57:48.487373"
78;12188;/products/deposits/deposit/12188/?mark_rate=2850390&sum=0&currency_id=45&period=367&rate=20.5&cap=0&pp=4&ppv=3m;"«Высокий доход»";"Банкирский Дом";20.5;1.00547945205479;700000;;;"возможно";"
										есть ограничения:
										срок внесения пополнения									";"
									не позднее 30 дней до окончания срока действия вклада								";"2014-12-26 13:06:31.951461";"2014-12-26 14:00:33.808074"
79;10875;/products/deposits/deposit/10875/?mark_rate=2850404&sum=0&currency_id=45&period=732&rate=20.5&cap=1&cp=3&cpv=1m&pp=3&ppv=1m;"«Юбилейный, 20 лет вместе»";"Банкирский Дом";20.5;2.00547945205479;1000000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									3 000 рублей, 100 долларов/евро; не позднее 30 дней до окончания срока действия вклада								";"2014-12-26 13:06:31.976390";"2014-12-26 14:00:34.549346"
81;4944;/products/deposits/deposit/4944/?mark_rate=2831050&sum=0&currency_id=45&period=367&rate=20.4&cap=0&pp=1&ppv=END;"«Доходный»";"Первый Чешско-Российский Банк";20.4;1.00547945205479;700000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									3 000 рублей, 100 долларов/евро; прекращается за 30 дней до окончания срока вклада								";"2014-12-26 13:06:32.013130";"2014-12-26 14:00:35.258697"
82;10997;/products/deposits/deposit/10997/?mark_rate=2822283&sum=0&currency_id=45&period=367&rate=20.25&cap=0&pp=1&ppv=END;"«Максимальный доход»";"Миръ";20.25;1.00547945205479;30000;;;"возможно";"
										есть ограничения:
										минимальная сумма									";"
									3 000 рублей								";"2014-12-26 13:06:32.033981";"2014-12-26 14:00:36.212072"
86;11847;/products/deposits/deposit/11847/?mark_rate=2812861&sum=0&currency_id=45&period=367&rate=20.04&cap=1&cp=6&cpv=6m&pp=6&ppv=6m;"«Доходный»";"РосинтерБанк";20.04;1.00547945205479;10000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									3 000 рублей, 100 долларов/евро; за исключением последних трех месяцев срока размещения вклада								";"2014-12-26 13:06:32.118147";"2014-12-26 14:00:37.003484"
94;11770;/products/deposits/deposit/11770/?mark_rate=2834710&sum=0&currency_id=45&period=365&rate=20&cap=0&pp=1&ppv=END;"«Конфетти»";"Ринвестбанк — Московский офис";20.0;1.0;5000;;;"возможно";;;"2014-12-26 13:06:32.285018";"2014-12-26 14:00:37.767108"
95;11842;/products/deposits/deposit/11842/?mark_rate=2819271&sum=0&currency_id=45&period=366&rate=20&cap=0&pp=3&ppv=1m;"«Времена года. Зима»";"МАСТ-Банк";20.0;1.0027397260274;5000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									3 000 рублей, 100 долларов/евро; не позднее чем за 30 дней до даты возврата вклада								";"2014-12-26 13:06:32.310701";"2014-12-26 14:00:38.399457"
102;11717;/products/deposits/deposit/11717/?mark_rate=2838484&sum=0&currency_id=45&period=367&rate=20&cap=0&pp=3&ppv=1m;"«Зимний марафон»";"Мираф-Банк — Московский филиал";20.0;1.00547945205479;10000;;;"возможно";"
										есть ограничения:
										срок внесения пополнения									";"
									в течение первых 9 месяцев размещения средств								";"2014-12-26 13:06:36.269337";"2014-12-26 14:00:39.218366"
107;7381;/products/deposits/deposit/7381/?mark_rate=2822295&sum=0&currency_id=45&period=367&rate=20&cap=1&cp=3&cpv=1m&pp=3&ppv=1m;"«Высокий доход»";"Миръ";20.0;1.00547945205479;30000;;;"возможно";"
										есть ограничения:
										минимальная сумма									";"
									3 000 рублей								";"2014-12-26 13:06:36.376153";"2014-12-26 14:00:39.960226"
108;11064;/products/deposits/deposit/11064/?mark_rate=2822275&sum=0&currency_id=45&period=367&rate=20&cap=1&cp=3&cpv=1m&pp=3&ppv=1m;"«Ликвидный»";"Миръ";20.0;1.00547945205479;30000;;;"возможно";"
										есть ограничения:
										минимальная сумма									";"
									3 000 рублей								";"2014-12-26 13:06:36.394837";"2014-12-26 14:00:40.609836"
109;11392;/products/deposits/deposit/11392/?mark_rate=2846683&sum=0&currency_id=45&period=400&rate=20&cap=1&cp=3&cpv=1m&pp=3&ppv=1m;"«То, что нас объединяет»";"Росэнергобанк";20.0;1.0958904109589;30000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									1 000 рублей, 100 долларов/евро; в течение первой половины срока вклада								";"2014-12-26 13:06:36.424636";"2014-12-26 14:00:41.207815"
